FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,MW,Year,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,TGD,Prob_D,Elo_Before_Home,Elo_Before_Away,Days_D,form_diff,SP_diff,Overall_diff,Attack_diff,Midfield_diff,Defence_diff
D,20.0,9.0,14.0,4.0,10.0,12.0,8.0,5.0,0.0,1.0,0.0,0.0,2.38,3.3316666666666666,3.015,2.5,3.49,3.17,4,2013,2.02,2.02,1.91,1.9,-6,0.25484097628647767,970.2936824697407,1012.7414069926475,0.0,-0.5910000000000001,-0.4444444444444444,-1,-3,-1,1
D,10.0,13.0,6.0,9.0,16.0,17.0,2.0,4.0,0.0,2.0,0.0,0.0,4.508333333333334,3.4650000000000003,1.8333333333333333,4.75,3.69,1.91,4,2013,1.94,2.02,1.86,1.95,-13,0.2590034042936496,956.7009974035553,1042.6493835656956,-10.0,-1.536,-0.8888888888888888,-6,-5,-7,-7
A,4.0,22.0,2.0,11.0,4.0,9.0,7.0,4.0,0.0,1.0,0.0,0.0,3.7249999999999996,3.426666666666667,2.03,3.8,3.66,2.1,4,2013,2.06,1.91,1.95,1.85,-4,0.2528815935799697,967.1347639830327,990.1369824504815,10.0,-0.273,-0.1111111111111111,-9,-10,-9,-8
D,4.0,15.0,3.0,11.0,12.0,12.0,6.0,5.0,0.0,1.0,0.0,0.0,5.075,3.5549999999999997,1.7316666666666667,5.5,3.78,1.76,4,2013,2.12,1.94,1.99,1.81,-3,0.25177902346421743,1000.003106366079,1022.8683376762225,0.0,-0.3570000000000001,-0.4444444444444445,-7,-11,-9,-5
D,6.0,20.0,4.0,9.0,18.0,10.0,2.0,7.0,1.0,2.0,0.0,0.0,3.336666666666666,3.3033333333333332,2.2183333333333337,3.52,3.52,2.3,4,2013,2.06,1.92,1.99,1.83,8,0.23465944949055553,1020.4142329242609,966.2746487028011,1.0,0.9630000000000001,0.4444444444444445,-4,-1,-7,-5
H,17.0,13.0,9.0,6.0,12.0,15.0,13.0,3.0,2.0,1.0,0.0,0.0,1.3633333333333333,4.69,9.316666666666666,1.4,5.09,10.5,5,2013,1.8,2.2,1.72,2.12,6,0.23840775135150963,1041.4371154285523,1000.3316892528532,0.0,0.5730000000000001,0.5,6,8,6,6
A,13.0,8.0,8.0,4.0,14.0,7.0,7.0,3.0,1.0,2.0,1.0,0.0,2.731666666666667,3.2416666666666667,2.67,2.8,3.4,2.8,5,2013,2.0,1.95,1.94,1.86,-10,0.2577450794757256,967.0475343632155,1034.6568981196237,0.0,-1.571,-0.5833333333333334,-3,-10,-1,-3
D,14.0,10.0,10.0,4.0,11.0,7.0,9.0,4.0,1.0,0.0,0.0,0.0,1.7733333333333334,3.6699999999999995,4.7316666666666665,1.8,4.02,5.04,5,2013,1.76,2.25,1.69,2.14,-4,0.2528815935799697,1022.5397547894484,1039.9854801536464,0.0,0.018000000000000016,0.0,2,5,4,0
H,16.0,8.0,8.0,3.0,11.0,19.0,4.0,5.0,1.0,1.0,0.0,0.0,1.7933333333333332,3.5416666666666665,4.591666666666666,1.85,3.75,4.75,5,2013,1.8,2.19,1.74,2.08,4,0.24188849191599487,995.1390285458251,970.9015329600195,-2.0,0.128,0.16666666666666669,4,9,4,4
H,12.0,8.0,4.0,2.0,5.0,13.0,1.0,4.0,1.0,3.0,0.0,0.0,2.4416666666666664,3.2549999999999994,2.9600000000000004,2.5,3.4,3.16,5,2013,1.95,2.0,1.9,1.9,-8,0.2564649941030762,939.7119926477126,994.2176912050971,0.0,-0.786,-0.3333333333333333,-2,-1,2,0
A,18.0,30.0,11.0,19.0,23.0,7.0,8.0,3.0,4.0,1.0,1.0,0.0,2.9883333333333333,3.2733333333333334,2.438333333333333,3.23,3.4,2.5,5,2013,2.2,1.85,2.04,1.78,5,0.24018241989943095,1030.3587994088052,1008.738866372721,2.0,0.4930000000000001,0.0,-2,0,-3,-4
H,18.0,9.0,14.0,6.0,7.0,12.0,10.0,9.0,0.0,2.0,0.0,0.0,1.4816666666666667,4.19,6.983333333333333,1.53,4.51,7.75,5,2013,1.72,2.34,1.64,2.22,8,0.23465944949055553,1004.1453452735632,957.9132655406987,-1.0,0.621,0.25,5,5,5,5
H,9.0,8.0,4.0,1.0,14.0,6.0,9.0,1.0,1.0,0.0,0.0,0.0,1.7766666666666666,3.615,4.641666666666667,1.85,3.84,4.75,5,2013,1.98,1.98,1.92,1.88,9,0.23268936205266813,1012.6159798259383,953.126401159951,1.0,1.2750000000000001,0.5,3,2,5,0
D,20.0,4.0,11.0,2.0,12.0,10.0,10.0,1.0,2.0,1.0,0.0,0.0,2.1733333333333333,3.298333333333334,3.486666666666667,2.25,3.5,3.72,5,2013,2.1,1.88,2.01,1.8,-2,0.2505961674670044,1012.1335565023687,1019.6413472638465,0.0,0.16600000000000004,0.08333333333333337,-1,0,1,-2
A,18.0,12.0,9.0,9.0,7.0,13.0,8.0,7.0,0.0,3.0,0.0,0.0,2.391666666666666,3.24,3.0483333333333333,2.5,3.44,3.25,5,2013,2.12,1.83,2.03,1.78,-8,0.2564649941030762,975.9447716056052,1019.4129495805082,0.0,-0.7769999999999999,-0.16666666666666669,-3,-4,-3,-3
A,14.0,10.0,5.0,5.0,14.0,13.0,6.0,5.0,2.0,3.0,0.0,0.0,2.1933333333333334,3.3433333333333337,3.4150000000000005,2.25,3.5,3.6,6,2013,1.91,2.04,1.85,1.95,0,0.24799478952477588,1039.734626776406,1050.2594956067976,-1.0,-0.4990000000000001,-0.2666666666666667,-1,-2,-1,-1
D,19.0,14.0,8.0,7.0,9.0,11.0,11.0,4.0,1.0,1.0,0.0,0.0,2.466666666666667,3.23,3.0116666666666667,2.6,3.38,3.25,6,2013,1.97,2.0,1.89,1.91,-7,0.25569545875893795,971.1055802596297,1020.9202713633908,0.0,-0.797,-0.39999999999999997,1,0,-2,0
H,17.0,8.0,9.0,2.0,2.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,1.4249999999999998,4.485,7.848333333333334,1.44,5.01,8.5,6,2013,1.66,2.44,1.61,2.28,10,0.23065777084398498,1029.981805862758,962.82410359318,0.0,1.5039999999999998,0.4666666666666666,3,1,2,6
A,7.0,21.0,3.0,12.0,7.0,12.0,2.0,4.0,0.0,1.0,0.0,0.0,4.408333333333333,3.5083333333333333,1.8499999999999999,4.62,3.75,1.91,6,2013,1.85,2.15,1.78,2.03,2,0.2450883375885501,1028.1683220830614,1022.7906081666888,1.0,0.2250000000000001,0.0,-5,-7,-8,-5
A,15.0,10.0,8.0,6.0,5.0,7.0,9.0,5.0,0.0,0.0,0.0,0.0,1.5666666666666667,3.965,6.1049999999999995,1.62,4.34,6.5,6,2013,1.72,2.35,1.66,2.21,4,0.24188849191599487,1042.7351404882404,1012.8224777364279,0.0,0.9699999999999999,0.2666666666666667,2,4,3,3
A,10.0,10.0,7.0,6.0,5.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,4.633333333333334,3.578333333333333,1.7833333333333332,4.9,3.87,1.85,6,2013,1.88,2.08,1.82,1.99,0,0.24799478952477588,961.5980146908735,958.969291994599,0.0,0.81,0.06666666666666668,-6,-4,-7,-6
A,13.0,17.0,9.0,10.0,9.0,21.0,4.0,13.0,1.0,8.0,1.0,0.0,2.12,3.308333333333333,3.5850000000000004,2.2,3.45,3.75,6,2013,2.06,1.89,1.97,1.82,-9,0.2571485348086478,949.236133077834,1012.2415854822789,-1.0,-1.264,-0.4,1,2,-1,2
D,14.0,8.0,7.0,3.0,6.0,8.0,6.0,3.0,0.0,3.0,0.0,0.0,2.94,3.26,2.4466666666666668,3.01,3.41,2.53,6,2013,2.11,1.87,2.01,1.8,-8,0.2564649941030762,944.8221096224985,1004.4425468149711,1.0,-1.083,-0.4666666666666667,-6,-9,-8,-6
H,10.0,8.0,5.0,0.0,10.0,8.0,6.0,8.0,1.0,1.0,0.0,0.0,1.9083333333333332,3.3333333333333335,4.3133333333333335,1.95,3.5,4.65,6,2013,2.11,1.85,2.03,1.78,-4,0.2528815935799697,991.5093090746079,1009.1158599187683,0.0,-0.788,-0.2,1,0,1,2
H,11.0,8.0,6.0,3.0,20.0,16.0,8.0,1.0,2.0,5.0,0.0,1.0,2.0083333333333333,3.3466666666666662,3.8550000000000004,2.1,3.48,4.08,6,2013,2.2,1.8,2.07,1.75,8,0.23465944949055553,1019.5333182839363,967.1893991030519,0.0,0.719,0.2,1,1,1,2
H,20.0,7.0,13.0,4.0,7.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,1.2233333333333332,6.176666666666667,13.834999999999999,1.25,7.11,15.01,7,2013,1.54,2.76,1.48,2.56,17,0.21488187438800674,1059.9566581597728,941.4466961359439,0.0,1.9250000000000003,0.6666666666666667,8,10,7,8
D,16.0,5.0,5.0,3.0,9.0,16.0,5.0,5.0,0.0,6.0,0.0,0.0,1.4966666666666668,4.146666666666667,7.326666666666667,1.53,4.47,8.16,7,2013,1.97,1.98,1.9,1.91,-4,0.2528815935799697,979.1206105495286,1007.2687949619127,0.0,-1.234,-0.06666666666666671,4,2,6,4
H,26.0,8.0,16.0,6.0,10.0,10.0,15.0,4.0,0.0,3.0,0.0,0.0,1.2833333333333334,5.456666666666667,11.746666666666668,1.3,6.0,13.0,7,2013,1.65,2.46,1.6,2.31,0,0.24799478952477588,1032.9453788557341,1028.038035315832,0.0,0.769,0.0,7,10,10,6
A,13.0,12.0,3.0,9.0,15.0,12.0,8.0,6.0,4.0,4.0,0.0,0.0,4.079999999999999,3.565,1.905,4.33,3.89,1.95,7,2013,1.8,2.26,1.73,2.11,-5,0.2539026408113929,1003.5928636452212,1031.8763058204693,0.0,-0.944,-0.4,-5,-5,-4,-5
D,13.0,14.0,6.0,5.0,13.0,5.0,8.0,8.0,4.0,0.0,0.0,0.0,2.715,3.306666666666666,2.6566666666666667,2.75,3.44,2.74,7,2013,1.8,2.21,1.74,2.09,-12,0.25867340261546834,950.6879557212577,1018.0135513940162,0.0,-1.5310000000000001,-0.2,-4,-5,-1,-4
D,25.0,8.0,16.0,6.0,8.0,11.0,11.0,3.0,1.0,3.0,0.0,0.0,1.9400000000000002,3.47,4.045,2.05,3.67,4.25,7,2013,2.0,1.99,1.91,1.9,9,0.23268936205266813,993.3563740314635,945.6717927922484,0.0,1.762,0.2,3,2,4,2
